,name,username,is_verified,description,followers_count,following_count,tweets_count
0,Foxy,MarcusFox11,False,Bring her down Heartbreak Hotel,392,260,5095
1,Southern Fried Talk,nick_carwell,False,"#FBA4LIFE
College football podcaster in partnership with @anchorfm @spotify @stitcher @Googlepodcast
https://t.co/CKyR3kUQu5",200,978,1922
2,🎄 🎁Septembre Claus🎅🏿 🎄,SeptembreA,False,"Front-end web developer. Former journalist. She/her.

https://t.co/z5nVtywWP6",6144,1055,177151
3,sumda🐯,GGUKUL,False,taehyung seviciligi,387,223,29863
4,Meow 😽,ireneriang,False,Life + Jesus x Love - Hate = Happiness❤,182,123,4745
5,Stratford_upon_avoncv37,RoryCambridge0,False,I use medical science to debunk your toxic relationships * Neurpsychology University of Pennsylvania * Lehigh University psychology *neurocriminology *,163,1056,3514
6,Superstar 👑 Champ 👸 Hun❤️,MellenSilvia,False,I'm a liberal who believes in tolerance.,201,107,17698
7,Monomedia Designer,afiqmusa__,False,"I am a truly believer, that we can learn everything online",9967,294,86710
8,eddie ritchie,eddieritchie1,False,,1162,1127,14988
9,vegan demon,vegandemon_,False,🌱🌈🐮🌄 18 + // dm for content only // no justice no peace. ♎️♈️♍️,11427,619,34704
